,Unnamed: 0,Similarity,Representations,Measure,Rep_Mea,Domain,Task
28,28,0.186730852843621,Term distribution,variational,Term variational,OOD2,AmazPantry
29,29,0.0210502594470846,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,AmazPantry
30,30,0.0015104373451322,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,AmazPantry
31,31,0.0079673138005239,Topic distribution,renyi,Topic renyi,OOD2,AmazPantry
32,32,0.0063529014587402,Topic distribution,cosine,Topic cosine,OOD2,AmazPantry
33,33,0.0211040484691718,Topic distribution,euclidean,Topic euclidean,OOD2,AmazPantry
34,34,0.0901222676038742,Topic distribution,variational,Topic variational,OOD2,AmazPantry
35,35,0.001521373167634,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,AmazPantry
0,0,0.0208228679416302,Term distribution,jensen-shannon,Term jensen-shannon,In Domain(Baseline),yelp
1,1,3.176309864152004,Term distribution,renyi,Term renyi,In Domain(Baseline),yelp
2,2,0.0004024837197503,Term distribution,cosine,Term cosine,In Domain(Baseline),yelp
3,3,0.0027048268320511,Term distribution,euclidean,Term euclidean,In Domain(Baseline),yelp
4,4,0.1658154941773861,Term distribution,variational,Term variational,In Domain(Baseline),yelp
5,5,0.0264302453621235,Term distribution,bhattacharyya,Term bhattacharyya,In Domain(Baseline),yelp
6,6,0.0113357827067375,Topic distribution,jensen-shannon,Topic jensen-shannon,In Domain(Baseline),yelp
7,7,0.0486388152307453,Topic distribution,renyi,Topic renyi,In Domain(Baseline),yelp
8,8,0.0167663693428039,Topic distribution,cosine,Topic cosine,In Domain(Baseline),yelp
9,9,0.0529099635292423,Topic distribution,euclidean,Topic euclidean,In Domain(Baseline),yelp
10,10,0.2277507781982422,Topic distribution,variational,Topic variational,In Domain(Baseline),yelp
11,11,0.0115010347217321,Topic distribution,bhattacharyya,Topic bhattacharyya,In Domain(Baseline),yelp
12,12,0.0330449521445292,Term distribution,jensen-shannon,Term jensen-shannon,OOD1,yelp
13,13,4.572985639928575,Term distribution,renyi,Term renyi,OOD1,yelp
14,14,0.0078363316624956,Term distribution,cosine,Term cosine,OOD1,yelp
15,15,0.0115914118740547,Term distribution,euclidean,Term euclidean,OOD1,yelp
16,16,0.2855624143946418,Term distribution,variational,Term variational,OOD1,yelp
17,17,0.0415760867935742,Term distribution,bhattacharyya,Term bhattacharyya,OOD1,yelp
18,18,0.0186844803392887,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD1,yelp
19,19,0.0752910083045019,Topic distribution,renyi,Topic renyi,OOD1,yelp
20,20,0.0495539307594299,Topic distribution,cosine,Topic cosine,OOD1,yelp
21,21,0.0807479458776155,Topic distribution,euclidean,Topic euclidean,OOD1,yelp
22,22,0.3156564235687256,Topic distribution,variational,Topic variational,OOD1,yelp
23,23,0.0190046839416027,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD1,yelp
24,24,0.0344566807733143,Term distribution,jensen-shannon,Term jensen-shannon,OOD2,yelp
25,25,4.71437415747028,Term distribution,renyi,Term renyi,OOD2,yelp
26,26,0.0070144257516134,Term distribution,cosine,Term cosine,OOD2,yelp
27,27,0.010953211348533,Term distribution,euclidean,Term euclidean,OOD2,yelp
28,28,0.2885095228912797,Term distribution,variational,Term variational,OOD2,yelp
29,29,0.0433107961373191,Term distribution,bhattacharyya,Term bhattacharyya,OOD2,yelp
30,30,0.0171330980956554,Topic distribution,jensen-shannon,Topic jensen-shannon,OOD2,yelp
31,31,0.0696395842068848,Topic distribution,renyi,Topic renyi,OOD2,yelp
32,32,0.043965458869934,Topic distribution,cosine,Topic cosine,OOD2,yelp
33,33,0.0764216535751162,Topic distribution,euclidean,Topic euclidean,OOD2,yelp
34,34,0.3150283396244049,Topic distribution,variational,Topic variational,OOD2,yelp
35,35,0.0173996072262525,Topic distribution,bhattacharyya,Topic bhattacharyya,OOD2,yelp
